archive_id,acquisition_id,candidates,kept,discarded,hard_invalid_v13b,median_maxLocalSNR,median_meanBackgroundCV
Archive_001,Acquisition_001,114,104,10,2,5.299920857666367,0.034500896435622375
Archive_001,Acquisition_002,194,163,31,11,5.022536141011031,0.03989171014522182
Archive_001,Acquisition_003,153,132,21,8,4.830846052193832,0.03735618191267497
Archive_001,Acquisition_004,176,155,21,7,4.70585132899045,0.03834843953037424
Archive_001,Acquisition_005,124,109,15,4,5.225517006221581,0.03812568861866104
Archive_002,Acquisition_006,169,139,30,12,7.052462021750221,0.047565468781419935
Archive_002,Acquisition_007,156,132,24,8,6.655167413896246,0.04564372995328437
Archive_002,Acquisition_008,175,149,26,12,8.08256785304266,0.04946135059576311
Archive_002,Acquisition_009,158,139,19,5,7.562388006502255,0.044945977943712634
Archive_002,Acquisition_010,181,159,22,3,7.246669617677535,0.04298013643194313
Archive_002,Acquisition_011,216,183,33,12,7.925849656170779,0.04731827828808234
Archive_002,Acquisition_012,206,182,24,14,7.741582686527819,0.04547116407553944
Archive_002,Acquisition_013,152,124,28,13,7.587801613936787,0.04657574723684998
Archive_002,Acquisition_014,189,168,21,10,6.570347569982206,0.03792468982349452
Archive_002,Acquisition_015,185,162,23,9,6.869355410393192,0.03966831759401814
Archive_002,Acquisition_016,184,166,18,10,7.351393048647805,0.041976886730505314
Archive_002,Acquisition_017,136,124,12,2,7.209362796822203,0.04194445624528258
Archive_002,Acquisition_018,150,130,20,8,7.358193900956612,0.0468093590903624
Archive_003,Acquisition_019,66,58,8,6,7.057837277408321,0.034459473160821784
Archive_003,Acquisition_020,58,53,5,4,6.644632445610965,0.0349447236017521
Archive_003,Acquisition_021,63,59,4,1,6.408797545195839,0.03323499908977582
Archive_003,Acquisition_022,66,63,3,3,6.79054186328773,0.03557276384963089
Archive_003,Acquisition_023,69,57,12,2,6.40938948364822,0.03635650346999858
Archive_003,Acquisition_024,56,51,5,2,6.548547183891772,0.03560119425568743
Archive_003,Acquisition_025,85,75,10,6,6.925651179154956,0.03766704716260531
Archive_003,Acquisition_026,42,38,4,2,6.464313165528171,0.03370668580685547
Archive_003,Acquisition_027,51,48,3,2,7.423257030983654,0.03765729382712291
Archive_003,Acquisition_028,47,41,6,3,6.963016043115959,0.03685434244486306
Archive_004,Acquisition_029,113,103,10,5,10.97698550891413,0.08892189037764711
Archive_004,Acquisition_030,88,82,6,2,10.988058422143826,0.07683834192821144
Archive_004,Acquisition_031,103,94,9,5,11.099965258033468,0.08484192459670374
Archive_004,Acquisition_032,94,88,6,5,9.518231931579706,0.06324346333317701
Archive_004,Acquisition_033,89,86,3,3,10.86441701922517,0.06957523315982408
Archive_005,Acquisition_034,74,70,4,1,4.146207035436373,0.03041228722433207
Archive_005,Acquisition_035,152,140,12,7,4.866073788260582,0.032604748811271414
Archive_005,Acquisition_036,83,75,8,5,4.044351158944105,0.03160436378263971
Archive_005,Acquisition_037,100,88,12,9,4.018578214960532,0.031419284198392766
Archive_005,Acquisition_038,108,99,9,5,3.7638928205685893,0.03131438882534543
Archive_005,Acquisition_039,93,82,11,3,4.092560824156249,0.03138403119018752
Archive_005,Acquisition_040,84,75,9,4,3.875791250429642,0.030481231478411905
Archive_005,Acquisition_041,117,106,11,9,4.250690461079788,0.03379428312758652
Archive_005,Acquisition_042,109,99,10,1,4.2332424792909995,0.03302536741679334
Archive_005,Acquisition_043,147,132,15,8,4.217053663004629,0.03236843958910047
Archive_006,Acquisition_044,115,105,10,1,2.8310791605045833,0.02991462994157819
Archive_006,Acquisition_045,128,109,19,4,3.5704884555345577,0.034995321421569935
Archive_006,Acquisition_046,135,122,13,7,3.0270454624385863,0.03183223796075141
Archive_006,Acquisition_047,140,125,15,4,3.146824049507673,0.033992756384378126
Archive_006,Acquisition_048,157,138,19,6,2.7849628257233614,0.03303246559137509
Archive_006,Acquisition_049,139,119,20,9,3.4480566518676934,0.032969061761426825
Archive_006,Acquisition_050,129,118,11,5,3.4128061416216653,0.033799396360664924
Archive_006,Acquisition_051,114,101,13,6,3.074264062293115,0.03244624564367843
Archive_006,Acquisition_052,109,99,10,5,3.0924148610631597,0.03136260438266585
